A,K,Q,J,T,9,8,7,6,5,4,3,2
A,85,68,67,66,66,64,63,63,62,62,61,60,59
K,66,83,64,64,63,61,60,59,58,58,57,56,55
Q,65,62,80,61,61,59,58,56,55,55,54,53,52
J,65,62,59,78,59,57,56,54,53,52,51,50,50
T,64,61,59,57,75,56,54,53,51,49,49,48,47
9,62,59,57,55,53,72,53,51,50,48,46,46,45
8,61,58,55,53,52,50,69,50,49,47,45,43,43
7,60,57,54,52,50,48,47,67,48,46,45,43,41
6,59,56,53,50,48,47,46,45,64,46,44,42,40
5,60,55,52,49,47,45,44,43,43,61,44,43,41
4,59,54,51,48,46,43,42,41,41,41,58,42,40
3,58,54,50,48,45,43,40,39,39,39,38,55,39
2,57,53,49,47,44,42,40,37,37,37,36,35,51
